country,hepatitis_B,polio,diphtheria ,under_five_deaths ,life_expectancy ,total_expenditure,population,year
Cyprus,88,98,98,0,78.7,6.37,127658,2005
Cyprus,88,98,98,0,78.6,6.42,1141,2004
Cyprus,88,98,98,0,78.5,6.83,993563,2003
Cyprus,88,98,98,0,78.4,6.12,976966,2002
Cyprus,89,97,97,0,78.2,5.78,96282,2001
Cyprus,89,97,97,0,78.1,5.77,943286,2000
Qatar,99,99,99,0,78.2,2.6,592468,2015
Qatar,89,99,89,0,78.1,2.19,615012,2014
Qatar,97,99,97,0,77.9,2.15,640868,2013
Qatar,93,93,92,0,77.8,2.16,681788,2012
Qatar,93,92,93,0,77.5,1.93,753334,2011
Qatar,97,98,97,0,77.3,2.9,865416,2010
Qatar,99,98,99,0,77,2.63,1022711,2009
Qatar,97,98,97,0,76.8,1.87,1218434,2008
Qatar,94,97,94,0,76.7,2.31,1436665,2007
Qatar,96,95,96,0,76.6,2.58,1654950,2006
Qatar,97,98,97,0,76.6,3.1,1856327,2005
Qatar,97,95,96,0,76.6,3.61,2035871,2004
Qatar,93,93,92,0,76.5,4.14,2196074,2003
Qatar,98,96,96,0,76.4,2.71,2336574,2002
Qatar,93,93,93,0,76.3,2.56,2459198,2001
Qatar,89,91,8,0,76.2,2.18,2565710,2000
Brunei Darussalam,99,99,99,0,77.7,2.82,333165,2015
Brunei Darussalam,99,99,99,0,77.6,2.65,340034,2014
Brunei Darussalam,98,99,99,0,77.1,2.61,346782,2013
Brunei Darussalam,99,99,99,0,78.3,2.3,353293,2012
Brunei Darussalam,93,99,97,0,77.4,2.25,359433,2011
Brunei Darussalam,96,99,95,0,76.9,2.73,365114,2010
Brunei Darussalam,96,99,99,0,76.8,2.85,370263,2009
Brunei Darussalam,96,97,98,0,77.2,2.23,374965,2008
Brunei Darussalam,97,95,99,0,76,2.32,379421,2007
Brunei Darussalam,99,94,97,0,76.3,2.24,383906,2006
Brunei Darussalam,99,93,94,0,76.2,2.62,388646,2005
Brunei Darussalam,99,92,92,0,76.4,3.1,393688,2004
Brunei Darussalam,99,99,92,0,76,3.9,398989,2003
Brunei Darussalam,99,99,94,0,74.8,3.4,404421,2002
Brunei Darussalam,99,99,97,0,74.7,3.6,409769,2001
Brunei Darussalam,99,99,99,0,74.4,3.5,414907,2000
Bahrain,98,98,98,0,76.9,3.81,664611,2015
Bahrain,98,98,98,0,76.8,4.98,697545,2014
Bahrain,99,99,99,0,76.7,4.69,735146,2013
Bahrain,99,99,99,0,76.5,4.37,778708,2012
Bahrain,99,99,99,0,76.1,3.4,829844,2011
Bahrain,99,99,99,0,76.1,3.64,889164,2010
Bahrain,98,97,98,0,76,3.79,958418,2009
Bahrain,97,97,97,0,75.8,3.17,1035919,2008
Bahrain,97,97,97,0,75.6,3.8,1114641,2007
Bahrain,98,98,98,0,75.5,3.8,1185076,2006
Bahrain,98,98,98,0,75.3,3.16,1240860,2005
Bahrain,98,98,98,0,75.2,3.37,1278151,2004
Bahrain,98,97,97,0,75,3.74,1299943,2003
Bahrain,98,98,98,0,74.9,3.89,1315029,2002
Bahrain,99,99,99,0,74.7,3.8,1336075,2001
Bahrain,97,97,97,0,74.5,3.51,1371851,2000
United Arab Emirates,99,99,99,1,77.1,3.04,3134062,2015
United Arab Emirates,99,99,99,1,76.9,3.64,3302719,2014
United Arab Emirates,98,98,98,1,76.7,3.49,3478777,2013
United Arab Emirates,96,96,96,1,76.5,3.45,3711932,2012
United Arab Emirates,95,95,95,1,76.3,3.7,4068570,2011
United Arab Emirates,94,94,94,1,76.2,3.93,4588225,2010
United Arab Emirates,93,94,93,1,76,4.5,5300174,2009
United Arab Emirates,92,94,92,1,75.8,2.93,6168838,2008
United Arab Emirates,92,94,92,1,75.6,2.57,7089487,2007
United Arab Emirates,92,94,92,1,75.4,2.33,7917372,2006
United Arab Emirates,92,94,94,1,75.3,2.32,8549988,2005
United Arab Emirates,92,94,94,1,75.1,2.46,8946777,2004
United Arab Emirates,92,94,94,1,74.9,2.65,9141596,2003
United Arab Emirates,92,94,94,1,74.7,2.72,9197910,2002
United Arab Emirates,92,94,94,1,74.5,2.48,9214175,2001
United Arab Emirates,92,94,94,1,74.2,2.38,9262900,2000
Maldives,99,99,99,0,78.5,8.24,49163,2015
Maldives,99,99,99,0,78.2,13.73,41,2014
Maldives,99,99,99,0,77.9,11.16,393,2013
Maldives,99,99,99,0,77.6,9.16,385,2012
Maldives,96,96,96,0,77.3,8.11,377,2011
Maldives,97,97,96,0,76.7,7.93,367,2010
Maldives,98,98,98,0,76.3,9.22,36,2009
Maldives,98,98,98,0,75.9,9.3,362,2008
Maldives,98,98,98,0,75.4,6.64,349,2007
Maldives,98,98,98,0,75,7.37,333,2006
Maldives,98,98,98,0,74.3,9.52,321,2005
Maldives,97,96,96,0,73.4,5.89,312,2004
Maldives,98,98,98,0,72.7,5.9,34,2003
Maldives,98,98,98,0,71.8,5.78,297,2002
Maldives,98,97,98,0,78,5.84,292,2001
Maldives,96,98,98,0,69.6,8,286,2000
Oman,99,99,99,1,76.6,2.88,2267973,2015
Oman,99,99,99,1,76.4,3.55,2294962,2014
Oman,98,99,98,1,76.2,2.76,2334858,2013
Oman,98,99,98,1,76,2.52,2386166,2012
Oman,99,99,99,1,75.8,2.49,2445517,2011
Oman,99,99,99,1,75.6,2.74,2511251,2010
Oman,98,96,98,1,75.4,2.83,2580758,2009
Oman,99,97,99,1,75.2,2.1,2657158,2008
Oman,99,97,99,1,74.9,2.43,2750963,2007
Oman,99,98,98,1,74.7,2.31,2876186,2006
Oman,99,99,99,1,74.3,2.59,3041434,2005
Oman,99,99,99,1,74,2.98,3251108,2004
Oman,99,99,99,1,73.6,3.17,3498029,2003
Oman,99,99,99,1,73.3,3.18,3764805,2002
Oman,99,99,99,1,72.9,3.8,4027260,2001
Oman,99,99,99,1,72.6,3.7,4267348,2000
