Country,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
Azerbaijan,2010,Developing,71.1,13,5,1.98,246.5686008,8,0,48,6,85,5.33,81,0.1,5842.85784,954332,2.8,2.9,0.737,11.7
Azerbaijan,2009,Developing,78,132,6,2.1,22.48638351,74,0,47.3,6,84,5.85,81,0.1,495.294791,8947243,2.8,2.9,0.728,11.6
Azerbaijan,2008,Developing,73,141,6,1.18,206.2616134,68,5,46.6,6,85,4.37,81,0.1,5574.6382,87634,2.8,2.9,0.719,11.6
Azerbaijan,2007,Developing,73,14,6,1.02,176.0107106,62,0,45.9,7,81,5.1,79,0.1,3851.437869,85813,2.8,2.9,0.708,11.6
Azerbaijan,2006,Developing,69.2,154,6,0.85,105.6337264,52,222,45.3,7,8,6.17,78,0.1,2473.85776,848455,2.9,2.9,0.682,10.7
Azerbaijan,2005,Developing,68.4,162,6,0.73,81.28883085,49,1238,44.7,7,79,7.86,75,0.1,1578.4239,839185,2.9,3,0.675,11.2
Azerbaijan,2004,Developing,68.4,154,6,0.62,8.59680496,5,827,44.2,8,78,7.92,77,0.1,145.2163,8365,3,3,0.668,11
Azerbaijan,2003,Developing,67.8,154,7,0.55,42.41491183,51,1978,43.6,8,79,6.56,77,0.1,883.6439965,82341,3,3,0.659,10.8
Azerbaijan,2002,Developing,67.8,146,7,0.55,39.33253687,5,4353,43.1,9,8,4.47,76,0.1,763.73858,817195,3.1,3.1,0.651,10.6
Azerbaijan,2001,Developing,67.5,151,8,0.51,4.104190077,,574,42.6,10,77,4.48,77,0.1,73.6838434,81112,3.1,3.1,0.642,10.4
Azerbaijan,2000,Developing,66.6,16,9,0.65,35.09462644,,210,42.1,11,75,4.67,76,0.1,655.974326,8486,3.2,3.1,0.636,10.1
Bahrain,2015,Developing,76.9,69,0,,0,98,0,63.6,0,98,,98,0.1,22688.87824,,6.2,6.1,0.823,14.5
Bahrain,2014,Developing,76.8,7,0,1.57,367.2556742,98,46,62.9,0,98,4.98,98,0.1,24983.3792,,6.1,6,0.82,14.5
Bahrain,2013,Developing,76.7,7,0,1.65,3.968695982,99,0,62.2,0,99,4.69,99,0.1,251.18329,,6.1,6,0.815,14.5
Bahrain,2012,Developing,76.5,71,0,1.7,2211.215778,99,0,61.5,0,99,4.37,99,0.1,23649.36661,,6.1,6,0.812,14.5
Bahrain,2011,Developing,76.1,76,0,1.66,197.7734681,99,0,6.8,0,99,3.4,99,0.1,2281.1242,,6.1,6,0.812,14.4
Bahrain,2010,Developing,76.1,73,0,1.93,266.7696122,99,0,6.1,0,99,3.64,99,0.1,2722.1389,,6,5.9,0.81,14.4
Bahrain,2009,Developing,76,74,0,1.95,332.9347646,98,3,59.3,0,97,3.79,98,0.1,19356.67236,,6,5.9,0.814,14.4
Bahrain,2008,Developing,75.8,76,0,2,231.5478912,97,2,58.5,0,97,3.17,97,0.1,2367.56535,,6,5.9,0.815,14.4
Bahrain,2007,Developing,75.6,77,0,2,278.3602806,97,7,57.6,0,97,3.8,97,0.1,2977.1153,,6.1,5.9,0.813,14.4
Bahrain,2006,Developing,75.5,79,0,2.1,170.7374027,98,3,56.8,0,98,3.8,98,0.1,1937.99549,,6.1,5.9,0.81,14.2
Bahrain,2005,Developing,75.3,81,0,2.05,1553.468944,98,4,56.1,0,98,3.16,98,0.1,17959.17854,,6.1,5.9,0.806,14
Bahrain,2004,Developing,75.2,83,0,2.16,1380.228095,98,11,55.6,0,98,3.37,98,0.1,15846.47641,,6.1,5.9,0.803,13.9
Bahrain,2003,Developing,75,85,0,2.16,1214.558167,98,12,55.2,0,97,3.74,97,0.1,14221.99259,,6.1,5.9,0.798,13.7
Bahrain,2002,Developing,74.9,87,0,1.99,106.4303336,98,8,55,0,98,3.89,98,0.1,1312.33457,,6.2,5.9,0.796,13.5
Bahrain,2001,Developing,74.7,9,0,1.95,1150.418063,99,5,54.8,0,99,3.8,99,0.1,12868.211,,6.2,6,0.794,13.3
Bahrain,2000,Developing,74.5,92,0,2.15,167.7270642,97,6,54.5,0,97,3.51,97,0.1,13636.34668,,6.2,6,0.786,13.2
Bangladesh,2015,Developing,71.8,129,92,,0,97,240,18.3,113,97,,97,0.1,121.15812,1612886,17.9,18.3,0.575,10.2
Bangladesh,2014,Developing,71.4,132,98,0.01,10.44640334,97,289,17.7,121,97,2.82,97,0.1,184.56543,15945279,18.1,18.6,0.57,10
Bangladesh,2013,Developing,71,135,104,0.01,52.82986467,96,237,17,130,96,2.88,96,0.1,951.8894535,157571292,18.3,18.8,0.565,10
Bangladesh,2012,Developing,77,137,111,0.01,59.2589257,94,1986,16.4,139,94,3.8,94,0.1,856.342857,15572753,18.5,19,0.557,9.9
Bangladesh,2011,Developing,73,14,118,0.01,62.34988484,96,5625,15.8,150,96,3.16,96,0.1,835.789341,153911916,18.7,19.2,0.545,9.4
Bangladesh,2010,Developing,69.9,142,126,0.01,62.65945432,94,788,15.2,161,94,3.6,94,0.1,757.6717572,15214912,18.9,19.4,0.535,8.9
Bangladesh,2009,Developing,69.5,144,135,0.01,53.26400378,97,718,14.6,173,97,2.91,97,0.1,681.125368,1545478,19.1,19.7,0.523,8.4
Bangladesh,2008,Developing,69.1,147,144,0.01,42.48865034,96,2660,14,186,96,2.85,96,0.1,615.7775411,14885814,19.3,19.9,0.52,8.6
Bangladesh,2007,Developing,68.6,151,154,0.01,46.36536703,95,2924,13.5,201,96,2.8,94,0.1,541.651484,147139191,19.5,2.1,0.513,8.6
Bangladesh,2006,Developing,68.2,152,164,0.01,42.3304549,86,6192,13,215,95,2.8,94,0.1,494.51466,1453684,19.7,2.3,0.506,8.4
Bangladesh,2005,Developing,67.8,155,174,0.01,38.05462002,45,25934,12.5,231,94,2.68,93,0.1,484.155471,14343111,19.9,2.5,0.499,8.2
Bangladesh,2004,Developing,67.3,158,185,0.01,4.11469667,11,9743,12,247,88,2.62,99,0.1,46.7579167,14137489,2.1,2.7,0.491,8.1
Bangladesh,2003,Developing,66.8,161,196,0.01,35.48458957,5,4067,11.6,264,9,2.51,87,0.1,432.7388972,139191,2.3,2.9,0.484,7.9
Bangladesh,2002,Developing,66.3,164,207,0.01,0.397228764,,3484,11.2,280,83,2.59,83,0.1,4.6135745,1366667,2.5,21.1,0.476,7.7
Bangladesh,2001,Developing,65.8,168,219,0.01,3.395069781,,4414,1.8,298,85,2.47,85,0.1,42.5981152,1341716,2.7,21.3,0.468,7.5
Bangladesh,2000,Developing,65.3,173,231,0.01,3.69633051,,5098,1.4,316,83,2.33,82,0.1,45.63371,131581243,2.9,21.5,0.459,7.3
Bhutan,2015,Developing,69.8,211,0,,0,99,11,24.5,0,98,,99,0.5,2613.645177,787386,15.4,16,0.604,12.5
Bhutan,2014,Developing,69.4,216,0,0.01,209.3921344,99,0,23.6,1,98,3.57,99,0.5,2522.7968,776448,15.7,16.2,0.596,12.5
Bhutan,2013,Developing,69.1,219,0,0.01,19.79057439,97,0,22.7,1,97,3.83,97,0.6,235.882889,764961,15.9,16.5,0.589,12.6
Bhutan,2012,Developing,68.7,223,0,0.01,188.7373664,97,1,21.9,1,97,3.7,97,0.6,2422.816,752967,16.1,16.7,0.581,12.3
Bhutan,2011,Developing,68.3,225,0,0.23,289.8524057,95,10,21.1,1,95,4.73,95,0.5,2458.45976,7451,16.3,17,0.572,11.9
Bhutan,2010,Developing,67.9,228,1,0.28,244.0391949,91,21,2.3,1,92,5.17,91,0.5,2178.921383,727641,16.6,17.3,0,11.4
Bhutan,2009,Developing,67.4,232,1,0.17,27.48907048,93,6,19.5,1,93,6.3,93,0.4,177.234497,714458,16.8,17.5,0,10.9
Bhutan,2008,Developing,67,234,1,0.21,302.667579,96,7,18.8,1,96,6.58,96,0.4,1795.18137,795,17.1,17.8,0,10.5
Bhutan,2007,Developing,66.5,238,1,0.16,283.806236,95,11,18,1,93,5.88,95,0.3,1741.142552,686958,17.3,18.1,0,10.1
Bhutan,2006,Developing,65.8,245,1,0.29,169.2023968,95,2,17.4,1,96,5.27,95,0.3,1335.45696,672228,17.5,18.3,0,9.6
Bhutan,2005,Developing,65,254,1,0.73,145.5965445,95,11,16.7,1,95,5.28,95,0.3,1247.61392,656639,17.8,18.6,0,9.2
Bhutan,2004,Developing,64.2,263,1,0.96,2.586698228,89,3,16.1,1,9,4.41,89,0.3,197.45788,64282,18,18.8,0,8.8
Bhutan,2003,Developing,63.3,273,1,0.52,19.15664091,95,0,15.5,1,96,4.9,95,0.2,997.7417141,623434,18.3,19.1,0,8.4
Bhutan,2002,Developing,62.5,282,1,0.29,151.9755193,83,27,14.9,1,89,7.75,86,0.1,885.6382245,66399,18.6,19.4,0,8
Bhutan,2001,Developing,61.7,29,1,0.14,8.574029812,89,756,14.4,1,88,5.91,88,0.1,87.9387673,5896,18.9,19.6,0,7.6
Bhutan,2000,Developing,62,312,1,0.17,93.35872844,98,418,13.9,1,98,6.91,92,0.1,765.8632358,573416,19.2,19.9,0,7.3
Brunei Darussalam,2015,Developing,77.7,78,0,,0,99,4,41.2,0,99,,99,0.1,3967.8951,,5.7,5.1,0.864,14.9
Brunei Darussalam,2014,Developing,77.6,8,0,0.01,269.1432784,99,1,4.2,0,99,2.65,99,0.1,4159.8652,,5.7,5.2,0.863,15
Brunei Darussalam,2013,Developing,77.1,84,0,0.01,2845.306444,98,0,39.2,0,99,2.61,99,0.1,44597.27968,,5.8,5.2,0.86,14.9
Brunei Darussalam,2012,Developing,78.3,79,0,0.01,3192.634413,99,1,38.2,0,99,2.3,99,0.1,47651.2599,,5.8,5.3,0.852,14.4
Brunei Darussalam,2011,Developing,77.4,79,0,0.97,295.7730171,93,4,37.2,0,99,2.25,97,0.1,4717.273,,5.9,5.4,0.846,14.1
Brunei Darussalam,2010,Developing,76.9,79,0,0.88,2218.364226,96,0,36.2,0,99,2.73,95,0.1,35268.1117,,5.9,5.4,0.845,14.2
Brunei Darussalam,2009,Developing,76.8,88,0,0.25,1873.686852,96,2,35.2,0,99,2.85,99,0.1,27965.4754,,6,5.5,0.841,14.1
Brunei Darussalam,2008,Developing,77.2,84,0,0.67,2538.941033,96,3,34.2,0,97,2.23,98,0.1,37951.286,,6.1,5.6,0.84,14.2
Brunei Darussalam,2007,Developing,76,1,0,0.85,2048.557422,97,0,33.2,0,95,2.32,99,0.1,32672.36717,,6.2,5.7,0.84,14.3
Brunei Darussalam,2006,Developing,76.3,93,0,0.67,24.97532919,99,0,32.2,0,94,2.24,97,0.1,398.96692,,6.3,5.8,0.837,14.3
Brunei Darussalam,2005,Developing,76.2,92,0,0.16,179.7147814,99,9,31.2,0,93,2.62,94,0.1,2612.13345,,6.4,5.9,0.834,14.1
Brunei Darussalam,2004,Developing,76.4,89,0,0.11,1504.30004,99,16,3.1,0,92,3.1,92,0.1,21896.6527,,6.5,6,0.828,13.7
Brunei Darussalam,2003,Developing,76,89,0,0.12,1406.51194,99,24,29.1,0,99,3.9,92,0.1,18555.56649,,6.6,6.1,0.823,13.4
Brunei Darussalam,2002,Developing,74.8,95,0,0.13,941.7036868,99,0,28,0,99,3.4,94,0.1,16846.2198,,6.7,6.1,0.82,13.3
Brunei Darussalam,2001,Developing,74.7,19,0,0.47,1078.66244,99,11,27,0,99,3.6,97,0.1,16468.12886,,6.8,6.2,0.819,13.4
Brunei Darussalam,2000,Developing,74.4,16,0,0.37,11.79686108,99,42,26.1,0,99,3.5,99,0.1,188.44826,,6.8,6.3,0.818,13.4
Cambodia,2015,Developing,68.7,174,10,,0,89,0,19.6,12,87,,89,0.2,1163.18977,15517635,1.9,1.9,0.558,10.9
Cambodia,2014,Developing,68.3,179,11,0.01,12.17952064,88,0,18.9,12,87,5.68,88,0.2,198.687123,152779,1.9,11,0.553,10.9
Cambodia,2013,Developing,67.8,183,11,0.01,8.758214538,83,0,18.2,13,66,5.93,83,0.2,128.419568,1522692,11,11.1,0.546,10.8
Cambodia,2012,Developing,67.4,186,12,0.01,6.914723983,86,15,17.6,14,84,6.24,86,0.3,95.244132,14776866,11,11.2,0.54,10.7
Cambodia,2011,Developing,67,19,13,2.12,60.18591771,88,722,17,15,87,5.64,88,0.3,882.491462,14537886,11,11.2,0.533,10.7
Cambodia,2010,Developing,66.6,192,14,2.2,56.88416481,89,1156,16.4,16,88,5.95,89,0.5,785.6928841,143874,11,11.3,0.519,10.6
Cambodia,2009,Developing,66.1,195,15,2.13,48.35423978,92,4779,15.9,17,95,6.36,94,0.6,738.2326684,14928,11.1,11.4,0.52,10.5
Cambodia,2008,Developing,65.6,199,16,2.24,53.10009046,91,4211,15.3,18,91,5.55,91,0.7,745.7877873,138859,11.2,11.4,0.511,10.5
Cambodia,2007,Developing,65,24,16,2.08,57.73516711,82,394,14.8,20,82,3.75,82,0.9,631.675789,13676693,11.3,11.5,0.495,10.3
Cambodia,2006,Developing,64.1,216,17,2.03,51.50447119,8,188,14.3,21,8,4.48,8,1.1,539.8791529,13474489,11.4,11.6,0.483,10.1
Cambodia,2005,Developing,62.9,234,18,1.99,62.21817261,,264,13.9,22,82,5.84,82,1.4,474.2238766,132721,11.5,11.6,0.47,10
Cambodia,2004,Developing,61.5,253,19,1.38,8.38611924,,352,13.5,24,86,6.43,85,1.7,48.615184,1363377,11.6,11.7,0.458,9.7
Cambodia,2003,Developing,63,268,21,1.44,55.59543946,,653,13.1,26,69,6.74,69,1.9,362.4213785,12853124,11.6,11.7,0.445,9.3
Cambodia,2002,Developing,59.3,273,23,1.43,30.91060554,,1361,12.8,29,54,5.95,54,2.1,339.676984,12634729,11.6,11.8,0.427,8.2
Cambodia,2001,Developing,58.5,273,25,1.71,27.68971051,,3761,12.4,33,59,5.7,6,2.2,321.22634,1242473,11.6,11.8,0.412,7.6
Cambodia,2000,Developing,57.7,274,27,1.51,0.328418056,,12237,12.1,36,62,5.87,59,2.1,3.685949,12152354,11.6,11.9,0.401,7.2
China,2015,Developing,76.1,85,157,,0,99,42361,32.9,183,99,,99,0.1,869.211938,137122,3.6,2.9,0.734,13.5
China,2014,Developing,75.8,86,171,5.78,109.8743903,99,52628,31.9,198,99,5.55,99,0.1,7683.5238,136427,3.7,3,0.723,13.1
China,2013,Developing,75.6,88,185,5.79,9.955532032,99,26883,3.9,216,99,5.39,99,0.1,777.77594,135738,3.8,3.2,0.713,12.7
China,2012,Developing,75.4,89,201,5.74,94.4344566,99,6183,3,233,99,5.26,99,0.1,6337.882993,135695,3.9,3.3,0.703,12.4
China,2011,Developing,75.2,91,215,5.63,91.26749779,99,9943,29,251,99,5.3,99,0.1,5633.79616,134413,4.1,3.5,0.7,12.8
China,2010,Developing,75,92,231,5.75,5.660754839,99,38159,28.1,268,99,4.89,99,0.1,456.512487,133775,4.2,3.6,0.691,12.5
China,2009,Developing,74.9,93,248,4.88,50.28348923,99,52461,27.3,288,99,5.8,99,0.1,3838.434292,133126,4.4,3.8,0.682,12.2
China,2008,Developing,74.5,97,266,4.27,39.22509728,95,131441,26.5,308,99,4.59,97,0.1,3471.247547,1324655,4.5,4,0.672,11.9
China,2007,Developing,74.4,96,285,3.88,312.6624819,92,109023,25.7,332,94,4.32,93,0.1,2695.366223,1317885,4.7,4.1,0.659,11.4
China,2006,Developing,74.2,98,307,3.28,29.74342979,91,99602,24.9,360,94,4.52,93,0.1,299.229676,13112,4.8,4.3,0.646,11
China,2005,Developing,73.9,99,332,2.92,171.6596026,84,124219,24.1,392,87,4.66,87,0.1,1753.4178,13372,5,4.4,0.634,10.6
China,2004,Developing,73.5,11,360,3.04,1.58668462,79,70549,23.4,427,87,4.72,87,0.1,158.668462,129675,5.1,4.6,0.622,10.2
China,2003,Developing,73.1,13,391,2.96,122.9365349,75,71879,22.6,467,87,4.82,86,0.1,1288.642924,12884,5.3,4.7,0.61,9.9
China,2002,Developing,72.7,16,422,2.91,106.3590358,7,58341,21.9,511,86,4.79,86,0.1,1148.5857,1284,5.5,4.9,0.6,9.7
China,2001,Developing,72.2,11,457,2.84,14.23064496,65,88962,21.2,558,86,4.56,86,0.1,153.1824,127185,5.7,5,0.592,9.6
China,2000,Developing,71.7,115,490,3.06,17.46057369,6,71093,2.5,608,86,4.6,85,0.1,959.372181,1262645,5.9,5.1,0.583,9.5
Cyprus,2015,Developed,85,52,0,,0,97,0,6.3,0,97,,97,0.1,2375.1127,116985,1,1,0.854,14.3
Cyprus,2014,Developed,83,53,0,0.01,207.3041936,96,10,59.8,0,99,7.37,99,0.1,2734.88382,115239,0.9,1,0.85,14
Cyprus,2013,Developed,81,54,0,9.04,212.0859259,96,0,59.2,0,99,7.46,99,0.1,2797.96736,1143896,0.9,1,0.85,13.8
Cyprus,2012,Developed,80,56,0,10.55,2159.756205,96,1,58.7,0,99,7.44,99,0.1,28951.15556,113562,0.9,1,0.85,13.8
Cyprus,2011,Developed,79.7,57,0,10.69,2443.325028,96,0,58.3,0,99,7.54,99,0.1,32233.83942,1124835,0.9,1,0.847,13.8
Cyprus,2010,Developed,79.5,59,0,11.32,283.3300258,96,18,57.8,0,99,7.23,99,0.1,3818.46396,111267,0.9,1,0.853,14.6
Cyprus,2009,Developed,79.3,6,0,10.8,230.2524184,96,0,57.3,0,99,7.4,99,0.1,3215.8159,19876,0.9,1,0.849,14.1
Cyprus,2008,Developed,79.1,62,0,12.01,239.6409938,93,1,56.8,0,97,6.89,97,0.1,3539.7488,181563,0.9,1,0.844,13.7
Cyprus,2007,Developed,78.9,63,0,11.56,1958.525877,93,0,56.3,0,97,6.5,97,0.1,31386.63265,163712,0.9,1,0.836,13.5
Cyprus,2006,Developed,78.8,64,0,11.47,1700.841534,93,0,55.8,0,97,6.28,97,0.1,27169.99256,14559,0.9,1,0.829,13.4
Cyprus,2005,Developed,78.7,65,0,11.41,1562.520827,88,1,55.3,0,98,6.37,98,0.1,25324.48666,127658,0.9,1,0.826,13.5
Cyprus,2004,Developed,78.6,65,0,13.03,1586.724172,88,0,54.8,0,98,6.42,98,0.1,23932.49128,1141,0.9,1,0.823,13.4
Cyprus,2003,Developed,78.5,66,0,10.62,158.7087399,88,0,54.3,0,98,6.83,98,0.1,2293.4789,993563,0.9,1,0.815,13
Cyprus,2002,Developed,78.4,68,0,11.68,1128.050886,88,0,53.8,0,98,6.12,98,0.1,16372.29152,976966,0.9,1,0.805,12.5
Cyprus,2001,Developed,78.2,69,0,10.16,100.8086193,89,0,53.3,0,97,5.78,97,0.1,1562.92433,96282,0.9,1,0.8,12.4
Cyprus,2000,Developed,78.1,7,0,9.56,950.8027925,89,0,52.8,0,97,5.77,97,0.1,14672.8826,943286,0.9,1,0.798,12.5
Democratic People's Republic of Korea,2015,Developing,76,139,6,,0,96,0,32.9,7,99,,96,0.1,,,4.9,4.9,,
Democratic People's Republic of Korea,2014,Developing,73,142,6,0.01,0,93,3,32.4,8,99,,93,0.1,,,4.9,4.9,,
Democratic People's Republic of Korea,2013,Developing,71,146,6,3.35,0,93,0,31.8,8,99,,93,0.1,,,5,5,,
Democratic People's Republic of Korea,2012,Developing,69.8,149,7,3.61,0,96,0,31.3,9,99,,96,0.1,,,5.1,5.1,,
Democratic People's Republic of Korea,2011,Developing,69.4,153,8,3.39,0,94,0,3.8,10,99,,94,0.1,,,5.1,5.2,,
Democratic People's Republic of Korea,2010,Developing,69,157,8,3.12,0,93,0,3.3,10,99,,93,0.1,,,5.2,5.2,,
Democratic People's Republic of Korea,2009,Developing,68.7,161,9,3.35,0,93,0,29.7,11,98,,93,0.1,,,5.3,5.3,,
Democratic People's Republic of Korea,2008,Developing,68.6,164,9,3.16,0,92,8,29.2,12,98,,92,0.1,,,5.4,5.4,,
Democratic People's Republic of Korea,2007,Developing,68.5,166,9,3.13,0,92,3550,28.7,12,99,,92,0.1,,,5.5,5.5,,
Democratic People's Republic of Korea,2006,Developing,68.5,165,10,3.28,0,96,0,28.2,12,98,,89,0.1,,,5.6,5.6,,
Democratic People's Republic of Korea,2005,Developing,68.5,165,10,3.21,0,92,0,27.7,13,97,,79,0.1,,,5.7,5.7,,
Democratic People's Republic of Korea,2004,Developing,68.4,165,11,3.13,0,98,0,27.2,14,99,,72,0.1,,,5.7,5.7,,
Democratic People's Republic of Korea,2003,Developing,68.1,165,12,3.13,0,27,0,26.7,15,99,,68,0.1,,,5.8,5.8,,
Democratic People's Republic of Korea,2002,Developing,67.6,167,14,3.08,0,,0,26.2,18,99,,64,0.1,,,5.9,5.9,,
Democratic People's Republic of Korea,2001,Developing,66.6,177,16,2.53,0,,0,25.7,21,98,,62,0.1,,,5.9,6,,
Democratic People's Republic of Korea,2000,Developing,65.4,192,18,3.52,0,,0,25.2,25,93,,56,0.1,,,6,6,,
Georgia,2015,Developing,74.4,129,1,,0,94,431,56.2,1,91,,94,0.1,3764.64912,37171,2.7,2.8,0.768,13.9
Georgia,2014,Developing,74.5,125,1,6.13,221.482875,91,3188,55.3,1,91,7.42,91,0.1,4429.6575,3727,2.7,2.8,0.759,13.5
Georgia,2013,Developing,74.5,128,1,5.91,180.3787034,96,7872,54.4,1,94,7.25,93,0.1,4274.376857,3776,2.7,2.8,0.755,13.5
Georgia,2012,Developing,74.2,13,1,7.71,158.2576025,92,31,53.6,1,93,8.57,92,0.1,4142.869175,3825,2.6,2.8,0.749,13.4
Georgia,2011,Developing,73.9,127,1,8.14,198.94876,89,64,52.8,1,88,9.38,94,0.1,3725.63221,3875,2.6,2.8,0.742,13.3
Georgia,2010,Developing,73.8,132,1,7.24,194.1732658,95,22,52,1,88,1.5,92,0.1,2964.47734,3926,2.6,2.8,0.738,13.3
Georgia,2009,Developing,73.2,133,1,6.66,18.5314303,54,23,51.3,1,93,1.19,88,0.1,276.588512,3978,2.6,2.8,0.734,12.8
